标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,楼层数,建筑
交大南门，精装两室，二楼，交通方便,海联物业友谊东路小区 ,城东,57,"8,582",2室1厅,66.42平米,北,简装,低,7,板楼
高山流水星币传说  2室  朝东采光好 有证可按揭,高山流水星币传说 ,城东,118,"15,084",2室1厅,78.23平米,东,其他,低,32,板塔结合
兴庆公园旁，单位家属院，大两室，户型方正，诚心出售,凯悦家属院 ,城东,88,"8,947",2室2厅,98.36平米,南 北,其他,高,5,板楼
体育场地铁口 二环边 园林小区纯南两室 业主诚心出售,荣城 ,南稍门,125,"13,485",2室1厅,92.7平米,南,简装,低,24,板塔结合
李家村万达广场 双地铁 两室两厅 随时签合同,李家村万达广场 ,李家村,84,"10,663",2室1厅,78.78平米,东,其他,高,29,板塔结合
位于丰庆公园，西工大，周 边交通便利，生活设施齐备,嘉禾公馆 ,城西,150,"15,858",2室1厅,94.59平米,东,简装,高,29,板塔结合
产证在手，三号线延兴门地铁口，交通便利,北沙庄园 ,城东,108,"11,339",2室1厅,95.25平米,东,其他,中,30,塔楼
东门外 地铁口 兴庆宫园北门车站 3层好房,永宁庄中行家属院 ,城东,62.1,"11,991",2室1厅,51.79平米,南,简装,7,7,塔楼
文艺南路中间楼层小区安静业主诚心出售好房随时签约,文艺南路劳动局家属院 ,南稍门,105,"11,042",2室1厅,95.1平米,南 北,其他,中,7,平房
兴庆路十字 兴庆花园 大4居 电梯房 有证可按揭,兴庆花园 ,城东,218,"11,304",3室1厅,192.86平米,南 北,精装,中,30,塔楼
中贸广场 地铁口 视野好采光通风佳,中贸广场 ,南稍门,104,"14,796",2室1厅,70.29平米,东,简装,低,27,板塔结合
西工大北隔壁  大两室 业主诚心卖,金仕雅筑 ,城西,132,"14,726",2室2厅,89.64平米,西北,其他,中,32,塔楼
地铁口  西工大FU小FU中  户型方正  诚心出售,白庙公寓 ,城西,70,"11,700",1室1厅,59.83平米,西,简装,高,26,塔楼
长乐公园地铁口。两室两厅两卫，双气南北诚意出售,黄河上游水电公司住宅小区 ,城东,81,"9,245",2室2厅,87.62平米,南 北,其他,高,7,暂无数据
一室朝东开间   能晒上太阳 目前看房方便,御溪书院 ,城西,50.5,"13,638",1室0厅,37.03平米,东,精装,高,31,塔楼
此房户型方正，交通便利，近二环南路，便于陪读,白庙公寓 ,城西,70,"12,784",1室1厅,54.76平米,东,其他,低,26,塔楼
此房满三满二，五号线四号线地铁口，小高层房,金地园 ,南稍门,210,"12,022",3室2厅,174.68平米,南 北,其他,低,18,板塔结合
自住精装房出售。满3满2，看房方便,北沙庄园 ,城东,114,"11,989",2室1厅,95.09平米,东南,精装,低,30,塔楼
南门外地铁口，SKP隔壁，户型方正，写字楼,宏信国际花园 ,南稍门,288,"17,943",1室0厅,160.51平米,东,其他,中,17,塔楼
东门外，成熟地段，业主诚心出售,华龙佳园 ,城东,70,"10,252",1室1厅,68.28平米,北,简装,高,21,板塔结合
东门外，招商局广场，业主诚心出售，随时带看,招商局广场 ,城东,126,"11,569",3室2厅,108.92平米,北,简装,中,20,塔楼
延兴门地铁口两室  产权清晰  随时可签约,东方广场 ,城东,105,"10,760",2室1厅,97.59平米,南 北,简装,低,30,板塔结合
满三满二，业主诚心出售，纯南向一居室,大洋时代国际 ,城西,45,"8,778",1室0厅,51.27平米,南,其他,中,30,塔楼
临街位置 李家村万达广场1室开间 双地铁口 诚心出售,李家村万达广场 ,李家村,50,"11,685",1室0厅,42.79平米,西,其他,高,29,板塔结合
房东诚心出售 产证在手 有租约 办手续方便 地铁口位置,李家村万达广场 ,李家村,58,"12,091",1室0厅,47.97平米,北,其他,中,30,板塔结合
产权清晰 业主诚心卖 户型好随时过户,海星未来城 ,城西,75,"11,953",1室1厅,62.75平米,北,精装,低,30,板塔结合
通化门地铁双地铁口商贸住宅家属院,商贸住宅 ,城东,75,"10,903",2室1厅,68.79平米,南,其他,低,7,板塔结合
楼层好，视野开阔，配套齐全 双气,怡兰星空 ,黄雁村,56,"11,597",1室1厅,48.29平米,南,其他,高,28,塔楼
诚心出售，交通方便，位置优越，生活便利，适合居住,轻工院研究设计院-家属院 ,城东,69,"10,715",2室2厅,64.4平米,南 北,其他,高,7,板楼
环城南路 永宁门 西宝花园 两室一厅 精装修 可按揭,西宝花园 ,南稍门,106,"12,170",2室1厅,87.1平米,西,精装,中,27,塔楼
东二环边  延兴门地铁口地铁口  好房出售,东方广场 ,城东,223,"14,576",4室2厅,153平米,南 北,精装,高,30,板塔结合
近西工大 西北大 朝南大两室 业主诚心出售,金仕雅筑 ,城西,122,"13,173",2室1厅,92.62平米,西南,精装,高,32,塔楼
二环内印象城 经典一居 门禁入户小区外围自带产业,海星未来城 ,城西,79.8,"11,713",1室1厅,68.13平米,南,其他,低,30,板塔结合
文昌门外 小两室 户型方正 采光无遮挡 产权清晰,文北一社区 ,南稍门,57,"10,459",2室1厅,54.5平米,南,简装,高,6,板楼
东门外 兴庆公园 3室朝南  南北户型 满二,凯悦家属院 ,城东,249.9,"15,622",3室2厅,159.97平米,南 北,精装,低,6,板楼
适合自住投   近西京医院   兴庆公园,北火巷小区 ,城东,39.9,"6,349",2室1厅,62.85平米,南 北,其他,高,7,板塔结合
朝南两室步梯房 闹中取静 交通便利,盐店街劳动局家属院 ,城内,85,"11,752",2室1厅,72.33平米,南,其他,高,6,暂无数据
园林社区 小区环境好 精装一室 诚心出售,九锦台 ,黄雁村,63,"14,936",1室0厅,42.18平米,东,简装,高,30,板塔结合
兴庆公园西门 家属院出售 双气市政烘暖,芙蓉苑 ,城东,115,"11,091",3室2厅,103.69平米,南 北,简装,中,8,板楼
地铁六号线  一室 采光好 户型方正,幸福逸家 ,城东,64,"13,548",1室1厅,47.24平米,西北,精装,高,32,板塔结合
2，5号线南稍门双地铁 南 采光好 配套齐全 满五不唯一,骊马豪城 ,南稍门,120,"11,700",2室1厅,102.57平米,南,其他,中,22,板楼
5号线地铁口，刚需小两室，首付20万以内的小两居。,文化小区 ,城东,45,"8,005",2室1厅,56.22平米,北,简装,高,7,板楼
产权清晰、随时可签、价格可谈、看房方便,白金广场小区 ,南稍门,120,"10,682",3室1厅,112.34平米,东 南,其他,高,21,塔楼
西工大地铁口50米配套成熟南北通透大三居带车位,西雅图翡翠城 ,城西,220,"17,705",3室2厅,124.26平米,南 北,其他,中,28,板塔结合
县门北街，诚心出售，价格可谈。,县门北街32号 ,城内,49.5,"8,762",2室1厅,56.5平米,西北,其他,高,6,暂无数据
经九路十字 省药材公司家属院 两室 业主诚心出售,省药材公司家属院 ,城东,70,"8,953",2室1厅,78.19平米,南,其他,高,7,板塔结合
南门外 中贸广场 两室出售 户型房子 产权清晰,中贸广场 ,南稍门,120,"15,032",2室2厅,79.83平米,西北,其他,低,33,板塔结合
大东门 地铁口 大平层 住宅性质 业主诚心出售,世贸大厦 ,城东,128,"12,174",1室0厅,105.15平米,北,精装,低,22,板塔结合
户型方正 地铁口，小区人员简单干净卫生，适合陪读,太白星座 ,黄雁村,109,"22,900",1室0厅,47.6平米,东,精装,中,32,塔楼
草场坡骊马豪城一室出售 带衣帽间 大落地窗,骊马豪城 ,南稍门,66,"10,017",1室2厅,65.89平米,东,简装,中,13,板楼
业主诚心出售，价格可谈，户型好,阳光家园 ,城东,97,"8,778",2室2厅,110.51平米,南 北,简装,高,7,板楼
东门外六号线地铁口三室两厅两卫，精装双气看房方便,铭爵大厦 ,城东,197,"10,970",3室2厅,179.59平米,东南,其他,高,19,塔楼
南稍门地铁 户型方正，诚心出售,新文巷11号院 ,南稍门,55,"7,062",2室1厅,77.89平米,南 北,简装,高,7,板楼
学府首座两室精装修 小区环境好     地铁口 交通便利,学府首座 ,城东,160,"17,054",2室1厅,93.82平米,西北,精装,低,31,板塔结合
旺园大厦 两室 中间楼层  业主诚心出售,旺园大厦 ,黄雁村,133,"10,002",2室2厅,132.98平米,南 西 北,其他,中,23,塔楼
学府首座两室精装修 小区环境好     地铁口 交通便利,学府首座 ,城东,160,"17,054",2室1厅,93.82平米,西北,精装,低,31,板塔结合
地铁口 二楼 南北两室一厅 诚心出售 产权清晰,文化小区 ,城东,56,"9,961",2室1厅,56.22平米,北 南,其他,低,7,板楼
兴庆公园 环城公园 东南城角精装两室房东诚心出售,郦景豪庭 ,城东,150,"12,562",2室2厅,119.41平米,西南,精装,高,29,塔楼
南二环 延兴门地铁口  朝南两室 中间层 交通便捷,东方广场 ,城东,105,"10,889",2室2厅,96.43平米,南,简装,低,30,板塔结合
延兴门地铁口四室好房 产证在手 看房有钥匙,东方广场 ,城东,170,"10,904",4室1厅,155.92平米,西南,简装,中,30,塔楼
环城公园边上，双地铁（1号线，6号线）,伍道什字西街111 ,城东,71,"9,074",3室1厅,78.25平米,南 北,简装,6,6,板楼
交大 学府首座 精装2室有房本 诚心出售 可谈,学府首座 ,城东,115,"14,763",2室1厅,77.9平米,西,其他,中,32,板塔结合
三区交汇，配套完善，地铁置业，可按揭,瑞鑫摩天城 ,城西,47,"11,768",1室0厅,39.94平米,南,其他,高,26,塔楼
交大 学府首座精装2室 有房本 诚心出售 可谈,学府首座 ,城东,115,"14,763",2室2厅,77.9平米,西,其他,中,32,板塔结合
出售 丰庆路 西南城角 大唐西市  两室 满三满二,幸福苑小区 ,城西,85,"8,703",2室1厅,97.67平米,西南,简装,高,7,板楼
学府首座 两室 满三满二 楼层好 视野无遮挡,学府首座 ,城东,148.9,"15,782",2室2厅,94.35平米,东北,精装,高,31,板塔结合
交大 学府首座精装3室 诚心出售 有钥匙 随时过户,学府首座 ,城东,235,"20,507",3室2厅,114.6平米,东南,其他,中,33,板塔结合
省体育场地铁口 小雁塔太古里  嘉怡豪庭 2室诚心出售,嘉怡豪庭 ,南稍门,140,"15,006",2室1厅,93.3平米,东 南,其他,中,32,板塔结合
永宁门外地铁口精装一室，业主诚心出售,宏信国际花园 ,南稍门,95,"17,668",1室0厅,53.77平米,南,其他,中,24,板塔结合
此房满三满二，无增值税，采光好，视野广阔,学院国际 ,李家村,125,"14,889",2室1厅,83.96平米,西北,其他,低,34,塔楼
近南门，近商圈，近公园 交通便利,仁义村甲子23号 ,南稍门,66,"9,527",2室1厅,69.28平米,东 西,简装,高,7,板楼
西安市碑林区兴庆路十字兴庆花园158平米三室，急售！,兴庆花园 ,城东,204,"12,845",3室2厅,158.82平米,东南,简装,中,30,塔楼
摩登主场 一室一厅  红会医院  南稍门双地铁 太古里,摩登主场 ,南稍门,105,"16,343",1室1厅,64.25平米,西,其他,低,26,板塔结合
南门外   一室一厅   双气  朝东,紫雁朗庭 ,南稍门,96,"14,246",1室1厅,67.39平米,东,其他,中,27,塔楼
地铁口，双气两室，业主诚心出售，看房方便。,世贸大厦 ,城东,148,"12,570",2室1厅,117.75平米,南,其他,中,32,板塔结合
黄雁村五号线地铁口省医院 两室 东南朝向采光好,东泰城市之光南区 ,黄雁村,189,"22,328",2室2厅,84.65平米,东北,精装,低,26,板塔结合
华融国际 1室0厅 南,华融国际 ,黄雁村,200,"8,091",1室0厅,247.21平米,南,其他,低,28,板塔结合
近地铁，落地窗，朝向好，视野好采光充足。,长安大街3号 ,南稍门,110,"19,299",1室0厅,57平米,南,其他,中,31,板塔结合
铁一中地铁口，五号线太乙路站，户型方正两室好房,尚书房 ,城东,138,"15,430",2室1厅,89.44平米,西南,其他,高,28,塔楼
兴庆公园旁  东方星座  2室2厅 精装修  急售,东方星座 ,城东,103,"12,011",2室2厅,85.76平米,北,精装,高,30,板塔结合
伊顿东区标准一室一厅 诚心出售 产权清晰,伊顿公馆东区 ,城西,72,"14,400",1室1厅,50平米,西,简装,高,25,板塔结合
小区比较新，生活出行方便，房龄新满三满二,太白星座 ,黄雁村,172,"17,404",2室2厅,98.83平米,北,其他,高,32,塔楼
长乐门地铁口东门外柿园路两室南北看房方便,索罗巷95号院 ,城东,53,"8,758",2室1厅,60.52平米,南 北,其他,高,7,板楼
满三满二，楼层很好，视野开阔，采光充足配套设施齐全,东屿枫舍 ,城东,169,"13,217",3室2厅,127.87平米,南 北,其他,高,30,塔楼
西工大旁伊顿公馆商品房，自住装修，诚心出售,伊顿公馆东区 ,城西,80,"16,671",1室0厅,47.99平米,西,其他,高,33,板塔结合
长乐门地铁口东门外柿园路两室南北看房方便,索罗巷95号院 ,城东,53,"8,758",2室1厅,60.52平米,南 北,其他,高,7,板楼
铁一中地铁口，五号线太乙路站，户型方正两室好房,尚书房 ,城东,138,"15,430",2室1厅,89.44平米,西南,其他,高,28,塔楼
兴庆公园旁  东方星座  2室2厅 精装修  急售,东方星座 ,城东,103,"12,011",2室2厅,85.76平米,北,精装,高,30,板塔结合
学院山   交通便利 教育资源丰富 闹中取静,学院国际 ,李家村,112,"13,275",2室1厅,84.37平米,西北,其他,高,34,塔楼
南门外 小雁塔旁  紫雁朗庭 标准一室一厅 随时可看,紫雁朗庭 ,南稍门,82,"12,168",1室1厅,67.39平米,东,简装,低,27,塔楼
双地铁4号5号线，交通便利，配套齐全，70年住宅，,李家村万达广场 ,李家村,56,"10,906",1室0厅,51.35平米,东,其他,高,29,板塔结合
"李家村 4,5号线双地铁 两套一起卖263平 视野很好",李家村万达广场 ,李家村,199,"13,315",1室0厅,149.46平米,东,其他,高,27,板塔结合
交大商圈，双公园，三条地铁，板楼，精装领包入住,常春藤花园 ,城东,293,"23,964",3室2厅,122.27平米,南 北,其他,高,33,板楼
朝阳门地铁口 精装三室 东南 户型方正 双气,长乐坊小区北区 ,城东,155,"13,700",3室2厅,113.14平米,东南,其他,中,33,板塔结合
黄雁村五号线地铁口 盛安广场 省医院 东泰北区2室,东泰城市之光南区 ,黄雁村,216,"27,287",2室1厅,79.16平米,南,其他,中,26,板塔结合
精装好房诚心出售，价格合理，看房方便,学府首座 ,城东,74,"15,662",1室1厅,47.25平米,北,精装,低,33,板塔结合
东门外 八仙宫 小两室 配套成熟 总价低,北火巷小区 ,城东,38,"6,058",2室1厅,62.73平米,南,其他,高,7,板塔结合
满三满二，无增值税，中间楼层，采光充足，配套齐全,天伦御城龙脉刘家庄小区 ,城东,165,"12,265",3室1厅,134.54平米,南,精装,中,32,塔楼
近地铁  业主靠谱出售 采光充足,友谊东路永宁小区 ,南稍门,88,"10,353",3室1厅,85平米,东,其他,中,7,板塔结合
主城区希望小区2室2厅诚心出售，生活便利，配套齐全,希望小区 ,城内,78,"8,901",2室2厅,87.64平米,南 北,其他,高,7,板塔结合
左邻右舍 双气 南北向 给予阳台 奢华跃层2室2卫独立厨,长征左邻右舍 ,李家村,132,"14,313",2室2厅,92.23平米,南,精装,高,15,塔楼
小区比较新，生活出行方便，房龄新满三满二,太白星座 ,黄雁村,165,"16,962",2室1厅,97.28平米,西南,其他,中,32,塔楼
满三满二，楼层适中，出行方便大南南路房，诚心出售,东泰城市之光北区 ,黄雁村,212,"25,673",2室2厅,82.58平米,西南,其他,高,33,塔楼
南稍门 体育场地铁口 封闭式小区 通双气 户型方正,长安大街3号 ,南稍门,68,"12,468",1室0厅,54.54平米,北,简装,低,33,塔楼
双地铁口 万达广场 一室电梯口 位置 临街好房出售,李家村万达广场 ,李家村,72,"11,339",1室0厅,63.5平米,西,其他,低,29,板塔结合
兴庆公园  西京医院  华龙佳园 两室 诚心出售,华龙佳园 ,城东,110,"11,928",2室2厅,92.22平米,西,精装,中,21,板塔结合
南稍门 太古里 高尔夫花园 南北两室 可按揭 满三满二,高爾夫花園 ,南稍门,109,"11,920",2室2厅,91.45平米,南 北,简装,中,7,塔楼
长乐门地铁口 世贸大厦 一室 中间楼层 满二,世贸大厦 ,城东,65,"10,325",1室1厅,62.96平米,北,其他,中,32,板塔结合
鸡市拐，经九路，双气，大三室，诚心出售,铭爵大厦 ,城东,197,"10,970",3室2厅,179.59平米,西南,其他,中,19,塔楼
煤田地质局一八六队家属院 2室0厅 南,煤田地质局一八六队家属院 ,城东,50,"10,793",2室0厅,46.33平米,南,其他,中,6,板楼
学府首座 两室 证在手 满二 随时过户,学府首座 ,城东,135,"14,309",2室1厅,94.35平米,西北,其他,高,31,板塔结合
李家村万达广场双地铁70年办公楼,李家村万达广场 ,李家村,90,"9,261",1室0厅,97.19平米,西,简装,中,27,板塔结合
东泰北区，户型朝南采光好。诚心卖。,东泰城市之光北区 ,黄雁村,230,"25,670",2室1厅,89.6平米,南,其他,高,33,塔楼
交通便利 配套设施齐全 新装修 公摊小 中间楼层,海联物业友谊东路小区 ,城东,67.5,"10,163",2室1厅,66.42平米,南 北,其他,中,7,板楼
